roi_id,name,network,hemisphere,x,y,z
1,7Networks_LH_Vis_1,Visual,LH,-32.16,-41.44,-21.05
2,7Networks_LH_Vis_2,Visual,LH,-30.06,-32.55,-18.05
3,7Networks_LH_Vis_3,Visual,LH,-35.37,-62.03,-17.06
4,7Networks_LH_Vis_4,Visual,LH,-24.52,-54.45,-8.25
5,7Networks_LH_Vis_5,Visual,LH,-23.36,-72.67,-10.31
6,7Networks_LH_Vis_6,Visual,LH,-36.41,-81.39,-15.97
7,7Networks_LH_Vis_7,Visual,LH,-18.61,-37.29,-11.77
8,7Networks_LH_Vis_8,Visual,LH,-45.16,-70.05,-8.30
9,7Networks_LH_Vis_9,Visual,LH,-16.95,-86.39,-14.99
10,7Networks_LH_Vis_10,Visual,LH,-12.17,-61.19,-4.73
11,7Networks_LH_Vis_11,Visual,LH,-6.73,-75.77,-5.73
12,7Networks_LH_Vis_12,Visual,LH,-24.41,-96.75,-11.92
13,7Networks_LH_Vis_13,Visual,LH,-13.45,-42.94,-5.45
14,7Networks_LH_Vis_14,Visual,LH,-41.55,-86.43,-3.26
15,7Networks_LH_Vis_15,Visual,LH,-7.44,-97.31,-7.24
16,7Networks_LH_Vis_16,Visual,LH,-14.10,-56.86,1.34
17,7Networks_LH_Vis_17,Visual,LH,-46.15,-73.07,6.14
18,7Networks_LH_Vis_18,Visual,LH,-4.63,-88.41,1.76
19,7Networks_LH_Vis_19,Visual,LH,-24.43,-95.87,5.93
20,7Networks_LH_Vis_20,Visual,LH,-13.53,-48.88,3.98
21,7Networks_LH_Vis_21,Visual,LH,-7.37,-74.21,9.52
22,7Networks_LH_Vis_22,Visual,LH,-18.89,-64.22,6.98
23,7Networks_LH_Vis_23,Visual,LH,-39.42,-83.75,14.14
24,7Networks_LH_Vis_24,Visual,LH,-10.91,-96.54,17.16
25,7Networks_LH_Vis_25,Visual,LH,-2.96,-84.18,24.50
26,7Networks_LH_Vis_26,Visual,LH,-12.20,-71.04,20.47
27,7Networks_LH_Vis_27,Visual,LH,-24.91,-84.65,21.90
28,7Networks_LH_Vis_28,Visual,LH,-31.81,-84.13,27.03
29,7Networks_LH_Vis_29,Visual,LH,-16.01,-88.98,33.58
30,7Networks_LH_Vis_30,Visual,LH,-12.03,-80.83,35.95
31,7Networks_LH_Vis_31,Visual,LH,-21.24,-78.59,44.69
32,7Networks_LH_SomMot_1,SomMot,LH,-49.80,-9.78,0.45
33,7Networks_LH_SomMot_2,SomMot,LH,-55.94,-21.36,7.70
34,7Networks_LH_SomMot_3,SomMot,LH,-36.09,-24.07,9.87
35,7Networks_LH_SomMot_4,SomMot,LH,-38.31,-9.14,12.77
36,7Networks_LH_SomMot_5,SomMot,LH,-35.66,-26.29,18.93
37,7Networks_LH_SomMot_6,SomMot,LH,-58.59,-37.00,15.67
38,7Networks_LH_SomMot_7,SomMot,LH,-41.14,-34.95,14.27
39,7Networks_LH_SomMot_8,SomMot,LH,-48.69,-12.89,14.16
40,7Networks_LH_SomMot_9,SomMot,LH,-59.55,-2.34,11.27
41,7Networks_LH_SomMot_10,SomMot,LH,-48.12,-24.15,17.83
42,7Networks_LH_SomMot_11,SomMot,LH,-60.92,-17.49,19.46
43,7Networks_LH_SomMot_12,SomMot,LH,-59.24,-2.23,23.75
44,7Networks_LH_SomMot_13,SomMot,LH,-62.43,-10.29,31.17
45,7Networks_LH_SomMot_14,SomMot,LH,-53.22,-8.97,30.00
46,7Networks_LH_SomMot_15,SomMot,LH,-54.83,-19.81,40.71
47,7Networks_LH_SomMot_16,SomMot,LH,-50.88,-6.81,43.11
48,7Networks_LH_SomMot_17,SomMot,LH,-47.99,-16.29,40.19
49,7Networks_LH_SomMot_18,SomMot,LH,-7.87,-15.29,46.90
50,7Networks_LH_SomMot_19,SomMot,LH,-40.98,-14.35,47.98
51,7Networks_LH_SomMot_20,SomMot,LH,-48.71,-17.38,54.20
52,7Networks_LH_SomMot_21,SomMot,LH,-47.30,-29.59,58.20
53,7Networks_LH_SomMot_22,SomMot,LH,-39.18,-24.78,52.88
54,7Networks_LH_SomMot_23,SomMot,LH,-8.59,-37.54,53.54
55,7Networks_LH_SomMot_24,SomMot,LH,-4.30,-24.79,56.20
56,7Networks_LH_SomMot_25,SomMot,LH,-3.90,-8.63,59.10
57,7Networks_LH_SomMot_26,SomMot,LH,-34.52,-18.28,63.64
58,7Networks_LH_SomMot_27,SomMot,LH,-30.16,-46.30,62.71
59,7Networks_LH_SomMot_28,SomMot,LH,-32.05,-28.94,62.15
60,7Networks_LH_SomMot_29,SomMot,LH,-29.82,-38.25,64.85
61,7Networks_LH_SomMot_30,SomMot,LH,-23.52,-10.70,64.89
62,7Networks_LH_SomMot_31,SomMot,LH,-19.27,-24.25,66.47
63,7Networks_LH_SomMot_32,SomMot,LH,-8.40,-41.66,70.18
64,7Networks_LH_SomMot_33,SomMot,LH,-4.03,-25.74,68.57
65,7Networks_LH_SomMot_34,SomMot,LH,-14.22,-11.23,72.22
66,7Networks_LH_SomMot_35,SomMot,LH,-18.46,-30.99,68.70
67,7Networks_LH_SomMot_36,SomMot,LH,-19.01,-39.98,71.76
68,7Networks_LH_SomMot_37,SomMot,LH,-11.86,-26.77,73.27
69,7Networks_LH_DorsAttn_Post_1,DorsAttn,LH,-44.94,-42.30,-21.29
70,7Networks_LH_DorsAttn_Post_2,DorsAttn,LH,-48.72,-55.67,-15.54
71,7Networks_LH_DorsAttn_Post_3,DorsAttn,LH,-55.10,-61.68,-0.68
72,7Networks_LH_DorsAttn_Post_4,DorsAttn,LH,-47.87,-65.34,14.93
73,7Networks_LH_DorsAttn_Post_5,DorsAttn,LH,-26.38,-70.13,30.41
74,7Networks_LH_DorsAttn_Post_6,DorsAttn,LH,-54.81,-31.30,44.41
75,7Networks_LH_DorsAttn_Post_7,DorsAttn,LH,-22.72,-65.51,46.42
76,7Networks_LH_DorsAttn_Post_8,DorsAttn,LH,-46.24,-29.10,43.79
77,7Networks_LH_DorsAttn_Post_9,DorsAttn,LH,-33.11,-46.49,40.87
78,7Networks_LH_DorsAttn_Post_10,DorsAttn,LH,-28.72,-58.04,50.57
79,7Networks_LH_DorsAttn_Post_11,DorsAttn,LH,-38.97,-37.54,49.78
80,7Networks_LH_DorsAttn_Post_12,DorsAttn,LH,-35.86,-51.83,56.03
81,7Networks_LH_DorsAttn_Post_13,DorsAttn,LH,-14.92,-71.13,57.04
82,7Networks_LH_DorsAttn_Post_14,DorsAttn,LH,-28.21,-61.19,62.33
83,7Networks_LH_DorsAttn_Post_15,DorsAttn,LH,-7.39,-58.47,63.13
84,7Networks_LH_DorsAttn_Post_16,DorsAttn,LH,-19.71,-56.48,66.28
85,7Networks_LH_DorsAttn_Post_17,DorsAttn,LH,-12.94,-50.59,71.58
86,7Networks_LH_DorsAttn_FEF_1,DorsAttn,LH,-40.33,-2.34,51.27
87,7Networks_LH_DorsAttn_FEF_2,DorsAttn,LH,-25.72,-0.47,55.16
88,7Networks_LH_DorsAttn_FEF_3,DorsAttn,LH,-30.02,-8.02,51.71
89,7Networks_LH_DorsAttn_FEF_4,DorsAttn,LH,-21.21,5.15,64.02
90,7Networks_LH_DorsAttn_PrCv_1,DorsAttn,LH,-49.45,6.04,25.62
91,7Networks_LH_DorsAttn_PrCv_2,DorsAttn,LH,-49.97,2.63,37.98
92,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,LH,-54.64,-31.97,22.22
93,7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,LH,-58.01,-44.19,27.31
94,7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,LH,-61.35,-23.26,32.77
95,7Networks_LH_SalVentAttn_ParOper_4,SalVentAttn,LH,-61.16,-36.08,33.32
96,7Networks_LH_SalVentAttn_TempOcc_1,SalVentAttn,LH,-56.61,-53.71,9.99
97,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,LH,-44.18,5.30,-16.22
98,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,LH,-38.74,1.93,-4.62
99,7Networks_LH_SalVentAttn_FrOperIns_3,SalVentAttn,LH,-32.91,24.57,-0.84
100,7Networks_LH_SalVentAttn_FrOperIns_4,SalVentAttn,LH,-39.79,-14.37,-1.75
101,7Networks_LH_SalVentAttn_FrOperIns_5,SalVentAttn,LH,-32.99,19.16,8.16
102,7Networks_LH_SalVentAttn_FrOperIns_6,SalVentAttn,LH,-36.48,4.39,10.69
103,7Networks_LH_SalVentAttn_FrOperIns_7,SalVentAttn,LH,-43.35,11.93,2.29
104,7Networks_LH_SalVentAttn_FrOperIns_8,SalVentAttn,LH,-50.48,1.50,4.36
105,7Networks_LH_SalVentAttn_FrOperIns_9,SalVentAttn,LH,-52.07,8.67,13.35
106,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,LH,-28.94,43.30,29.55
107,7Networks_LH_SalVentAttn_Med_1,SalVentAttn,LH,-5.95,21.80,31.14
108,7Networks_LH_SalVentAttn_Med_2,SalVentAttn,LH,-6.49,0.81,40.55
109,7Networks_LH_SalVentAttn_Med_3,SalVentAttn,LH,-11.00,-27.38,41.13
110,7Networks_LH_SalVentAttn_Med_4,SalVentAttn,LH,-5.31,9.30,48.38
111,7Networks_LH_SalVentAttn_Med_5,SalVentAttn,LH,-12.57,-41.45,47.31
112,7Networks_LH_SalVentAttn_Med_6,SalVentAttn,LH,-5.84,-49.12,57.02
113,7Networks_LH_SalVentAttn_Med_7,SalVentAttn,LH,-8.49,-2.68,70.90
114,7Networks_LH_Limbic_OFC_1,Limbic,LH,-12.37,24.26,-20.46
115,7Networks_LH_Limbic_OFC_2,Limbic,LH,-23.56,22.42,-19.70
116,7Networks_LH_Limbic_OFC_3,Limbic,LH,-10.59,47.32,-21.34
117,7Networks_LH_Limbic_OFC_4,Limbic,LH,-3.91,23.34,-18.87
118,7Networks_LH_Limbic_OFC_5,Limbic,LH,-15.44,64.35,-8.47
119,7Networks_LH_Limbic_TempPole_1,Limbic,LH,-37.45,-5.46,-42.33
120,7Networks_LH_Limbic_TempPole_2,Limbic,LH,-25.13,5.81,-38.29
121,7Networks_LH_Limbic_TempPole_3,Limbic,LH,-25.64,-8.97,-32.58
122,7Networks_LH_Limbic_TempPole_4,Limbic,LH,-53.85,-21.38,-31.43
123,7Networks_LH_Limbic_TempPole_5,Limbic,LH,-40.10,-21.85,-26.58
