roi_id,name,network,hemisphere,x,y,z
1,7Networks_LH_Vis_1,Visual,LH,-23.84,-53.03,-9.11
2,7Networks_LH_Vis_2,Visual,LH,-25.38,-76.73,-13.47
3,7Networks_LH_Vis_3,Visual,LH,-45.30,-69.35,-8.54
4,7Networks_LH_Vis_4,Visual,LH,-9.62,-67.02,-4.56
5,7Networks_LH_Vis_5,Visual,LH,-26.32,-94.95,-12.34
6,7Networks_LH_Vis_6,Visual,LH,-14.13,-44.72,-2.90
7,7Networks_LH_Vis_7,Visual,LH,-5.55,-92.65,-4.11
8,7Networks_LH_Vis_8,Visual,LH,-47.14,-69.72,9.73
9,7Networks_LH_Vis_9,Visual,LH,-22.58,-96.75,5.94
10,7Networks_LH_Vis_10,Visual,LH,-11.33,-69.79,7.54
11,7Networks_LH_Vis_11,Visual,LH,-39.89,-84.53,10.21
12,7Networks_LH_Vis_12,Visual,LH,-12.09,-72.74,22.38
13,7Networks_LH_Vis_13,Visual,LH,-7.53,-87.46,27.26
14,7Networks_LH_Vis_14,Visual,LH,-23.09,-87.13,24.01
15,7Networks_LH_SomMot_1,SomMot,LH,-50.49,-5.08,-2.15
16,7Networks_LH_SomMot_2,SomMot,LH,-52.58,-24.87,9.25
17,7Networks_LH_SomMot_3,SomMot,LH,-36.92,-20.96,15.28
18,7Networks_LH_SomMot_4,SomMot,LH,-54.93,-4.48,10.23
19,7Networks_LH_SomMot_5,SomMot,LH,-52.95,-22.44,18.38
20,7Networks_LH_SomMot_6,SomMot,LH,-56.15,-8.22,30.40
21,7Networks_LH_SomMot_7,SomMot,LH,-47.25,-8.93,46.31
22,7Networks_LH_SomMot_8,SomMot,LH,-6.93,-12.39,46.40
23,7Networks_LH_SomMot_9,SomMot,LH,-48.18,-28.38,56.99
24,7Networks_LH_SomMot_10,SomMot,LH,-39.45,-23.95,57.49
25,7Networks_LH_SomMot_11,SomMot,LH,-30.67,-46.27,62.55
26,7Networks_LH_SomMot_12,SomMot,LH,-31.30,-19.76,63.84
27,7Networks_LH_SomMot_13,SomMot,LH,-26.09,-38.06,67.43
28,7Networks_LH_SomMot_14,SomMot,LH,-20.27,-10.60,68.07
29,7Networks_LH_SomMot_15,SomMot,LH,-6.61,-30.54,66.32
30,7Networks_LH_SomMot_16,SomMot,LH,-19.09,-30.81,67.69
31,7Networks_LH_DorsAttn_Post_1,DorsAttn,LH,-43.36,-48.24,-19.36
32,7Networks_LH_DorsAttn_Post_2,DorsAttn,LH,-57.01,-60.20,-1.37
33,7Networks_LH_DorsAttn_Post_3,DorsAttn,LH,-25.78,-69.91,38.20
34,7Networks_LH_DorsAttn_Post_4,DorsAttn,LH,-54.02,-26.41,41.98
35,7Networks_LH_DorsAttn_Post_5,DorsAttn,LH,-40.73,-35.14,47.79
36,7Networks_LH_DorsAttn_Post_6,DorsAttn,LH,-33.26,-48.87,47.16
37,7Networks_LH_DorsAttn_Post_7,DorsAttn,LH,-16.74,-73.04,54.10
38,7Networks_LH_DorsAttn_Post_8,DorsAttn,LH,-29.09,-59.84,59.38
39,7Networks_LH_DorsAttn_Post_9,DorsAttn,LH,-5.57,-59.34,57.12
40,7Networks_LH_DorsAttn_Post_10,DorsAttn,LH,-17.18,-52.73,68.44
41,7Networks_LH_DorsAttn_FEF_1,DorsAttn,LH,-31.59,-4.29,53.24
42,7Networks_LH_DorsAttn_FEF_2,DorsAttn,LH,-22.50,5.56,61.42
43,7Networks_LH_DorsAttn_PrCv_1,DorsAttn,LH,-47.70,5.61,28.86
44,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,LH,-55.73,-39.98,20.50
45,7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,LH,-61.01,-25.44,28.63
46,7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,LH,-59.73,-39.37,36.34
47,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,LH,-39.25,-3.86,-3.63
48,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,LH,-33.50,20.39,4.81
49,7Networks_LH_SalVentAttn_FrOperIns_3,SalVentAttn,LH,-38.90,0.86,10.99
